region,year,month,deaths
Italy,2017,Total,649061
Italy,2017,January,76088
Italy,2017,February,58619
Italy,2017,March,58485
Italy,2017,April,47774
Italy,2017,May,54544
Italy,2017,June,48416
Italy,2017,July,47638
Italy,2017,August,53642
Italy,2017,September,46384
Italy,2017,October,51863
Italy,2017,November,51990
Italy,2017,December,53618
Italy,2016,Total,615261
Italy,2016,January,55617
Italy,2016,February,54900
Italy,2016,March,56440
Italy,2016,April,50174
Italy,2016,May,51058
Italy,2016,June,46532
Italy,2016,July,46316
Italy,2016,August,48698
Italy,2016,September,46268
Italy,2016,October,50193
Italy,2016,November,52191
Italy,2016,December,56874
Italy,2015,Total,647571
Italy,2015,January,65266
Italy,2015,February,61057
Italy,2015,March,61557
Italy,2015,April,54273
Italy,2015,May,49130
Italy,2015,June,47915
Italy,2015,July,56208
Italy,2015,August,49536
Italy,2015,September,47872
Italy,2015,October,50579
Italy,2015,November,49468
Italy,2015,December,54710
Italy,2013,Total,600744
Italy,2013,January,60159
Italy,2013,February,53635
Italy,2013,March,54231
Italy,2013,April,49722
Italy,2013,May,48682
Italy,2013,June,45541
Italy,2013,July,48310
Italy,2013,August,47586
Italy,2013,September,43722
Italy,2013,October,50084