	REG	region	total_commune	mortality_commune	total_population	mortality_population
0	14	Abruzzo	305	28	1307309	172493
0	18	Basilicata	131	7	578036	37148
0	19	Calabria	404	13	1959050	59716
0	16	Campania	550	27	5766810	199840
0	9	Emilia-Romagna	328	157	4342135	2154670
0	7	Friuli Venezia Giulia	215	20	1220291	107987
0	13	Lazio	378	15	5502886	166261
0	8	Liguria	234	32	1570694	1047041
0	4	Lombardia	1506	554	9704151	6455039
0	12	Marche	228	33	1541319	484202
0	15	Molise	136	6	313660	26797
0	2	Piemonte	1181	157	4363916	1412544
0	17	Puglia	257	38	4052566	695773
0	21	Sardegna	377	46	1639362	264346
0	20	Sicilia	390	38	5002904	332833
0	10	Toscana	273	77	3672202	1023415
0	5	Trentino-Alto Adige/SÃ¼dtirol	282	24	1029475	145557
0	11	Umbria	92	15	884268	210519
0	3	Valle d'Aosta	74	4	126806	46969
0	6	Veneto	563	159	4855904	1637104
