	region	age_0	age_1	age_2	age_3
0	Liguria	11.1	60.4	13.902769696403729	14.597230303596273
1	Sardegna	11.2	65.0	12.000285422159008	12.599714577840995
2	Molise	11.3	64.0	12.000285422159008	12.599714577840995
3	Basilicata	11.9	65.1	11.219779053238097	11.780220946761904
4	Friuli Venezia Giulia	12.0	61.8	12.780791791079919	13.419208208920082
5	Toscana	12.4	62.2	12.390538606619463	13.009461393380537
6	Piemonte	12.4	62.1	12.43932025467702	13.06067974532298
7	Abruzzo	12.4	63.8	11.610032237698553	12.18996776230145
8	Umbria	12.5	61.9	12.488101902734577	13.111898097265424
9	Marche	12.6	62.6	12.097848718274122	12.70215128172588
10	Emilia-Romagna	13.1	62.9	11.658813885756109	12.241186114243892
11	Puglia	13.1	64.8	10.780744220720084	11.319255779279917
12	Calabria	13.2	64.8	10.5368359804323	11.063164019567703
13	Valle d'Aosta	13.1	63.0	11.610032237698553	12.18996776230145
14	Veneto	13.3	63.8	11.17099740518054	11.72900259481946
15	Lazio	13.3	65.0	10.585617628489857	11.114382371510144
16	Lombardia	13.7	63.8	11.02465246100787	11.575347538992133
17	Sicilia	13.8	65.0	10.341709388202071	10.85829061179793
18	Campania	14.5	66.7	9.170949834820705	9.629050165179295
19	Trentino-Alto Adige/SÃ¼dtirol	15.0	64.1	10.146582795971844	10.653417204028157
